Scholarship Name,Scholarship Sponsor,Description,Eligibility:,Application closing date:,Support Type:,Level of Study:,Gender:,Frequency of Offer:,Fields of Study:,Location of Study:,No Offered Per Year:,Target Group:,Subjects:,Scholarship website
ACU National Student Association - Student Travel and Training Grant (STTG),Australian Catholic University,"In 2014, the Australian Catholic University National Student Association (ACUNSA) established the Student Travel and Training Grant (STTG) in conjunction with the Deputy Vice-Chancellor (Students, Learning and Teaching) to assist students with the associated costs of attending conferences, humanitarian activities, undertaking practicums or other further student travel and/or training that supports the studies of ACU students.","Applicants must: be undergraduate or postgraduate (coursework) students, undertaking a conference, humanitarian activity, practicum, or other training. The activity must be undertaken within 6 months before or after the application closing date. Members of ACUNSA or any Student Association Management Committee must withdraw from the Selection Committee to apply. Students are only eligible to receive the Grant once during their studies at ACU.",,Scholarship,,Co-Ed,Multiple/year,"Accounting, Agriculture & Natural Resources, Architecture, Psychology, Built Environment, Business & Management, Communications, Computing & Information Technology, Creative Arts, Dental Studies, Economics, Education & Training, Engineering & Technology, Environmental Studies, Food & Hospitality, General Education & Employment Skills, Health Services & Support, Humanities & Social Sciences, Language & Literature, Law, Legal Studies, Mathematics, Medicine, Nursing, Personal Services, Pharmacy, Rehabilitation, Sciences, Social Work, Sport, Leisure & Recreation, Surveying, Tourism, Veterinary Studies & Animal Care, Welfare & Community Services, ELICOS course","Brisbane Metropolitan, Sydney Metropolitan, Melbourne Metropolitan, Central Highlands-Wimmera, Australian Capital Territory",60,,,http://www.acu.edu.au/study_at_acu/fees_And_scholarships/scholarships_and_financial_support
ACU Postgraduate Association - Student Travel and Training Grant (STTG),Australian Catholic University,"In 2017, in conjunction with the Deputy Vice-Chancellor (Students, Learning and Teaching) the Australian Catholic University Postgraduate Association (ACUPGA) established the ACUPGA Grant. The ACUPGA Grant has been designed to assist students with the associated costs of attending conferences, humanitarian activities, undertaking practicums or other further student travel and/or training that supports the studies of ACU students.","Applicants must be: currently studying in a postgraduate coursework or research program; and be presenting at a conference, undertaking a humanitarian activity, completing a regional or rural placement, or other student training. The activity must be undertaken within 6 months before or after the application closing date.",,Scholarship,,Co-Ed,Multiple/year,"Accounting, Agriculture & Natural Resources, Architecture, Psychology, Built Environment, Business & Management, Communications, Computing & Information Technology, Creative Arts, Dental Studies, Economics, Education & Training, Engineering & Technology, Environmental Studies, Food & Hospitality, General Education & Employment Skills, Health Services & Support, Humanities & Social Sciences, Language & Literature, Law, Legal Studies, Mathematics, Medicine, Nursing, Personal Services, Pharmacy, Rehabilitation, Sciences, Social Work, Sport, Leisure & Recreation, Surveying, Tourism, Veterinary Studies & Animal Care, Welfare & Community Services, ELICOS course","Brisbane Metropolitan, Sydney Metropolitan, Melbourne Metropolitan, Central Highlands-Wimmera, Australian Capital Territory",,,,http://www.acu.edu.au/study_at_acu/fees_And_scholarships/scholarships_and_financial_support/Scholarships_Browser/acu_postgraduate_association_-_student_travel_a
Aerospace Speakers Travel Grant,Royal Aeronautical Society,"The Aerospace Speakers' Travel Grants (AeSTG) are focussed on, but not exclusive to, young people at the beginning of their aerospace-related careers planning to present a paper on their research to an audience of their peers at an international conference.","Membership is not a pre-requisite for Commonwealth citizens, with the exception of Indian nationals. However, RAeS membership is required for non-Commonwealth and Indian citizens. Applicants must be presenting a paper on aerospace-related research at an international conference.",February; May; August; November,"Travel Grant outside Australia, Travel Grant within Australia",,Co-Ed,Multiple/year,Sciences,Anywhere in Australia,,,Aerospace,http://aerosociety.com/Careers-Education/travelgrants
AFGW NSW Canberra Branch ACCOMMODATION BURSARY - ANU,Australian Federation of Graduate Women NSW,"The Canberra branch of the Australian Federation of Graduate Women NSW offers residential accommodation for up to four (4) weeks at the Australian National University to a woman graduate or final year honours student from a university or equivalent institution in Australia, New Zealand, Papua-New Guinea or South Pacific countries. Preference may be given to applicants who are members of an affiliate of Graduate Women International. Canberra residents are ineligible. The Bursary will be available from 4 to 30 January 2018.","Women graduates or final year honours students from a university or equivalent institution in Australia, New Zealand, Papua-New Guinea or South Pacific countries. Preference may be given to applicants who are members of an affiliate of Graduate Women International. Canberra residents are ineligible. The award is open to women of any age and in any field who wish to collaborate with counterparts, or access facilities that may include libraries, museums or special equipment in Canberra. The successful applicant will be required to provide a brief report following completion of her project.",,Accommodation Scholarship,,Female,Annual,,Australian Capital Territory,,,,http://www.afgwnsw.org.au
AFUW (SA) Diamond Jubilee Bursary,Australian Federation of University Women South Australia Inc Trust Fund,The scholarship is designed to assist women or men to complete a masters or doctorate by coursework at a South Australian university.,"The scholarship is available to women or men of any nationality who are enrolled at a South Australian university, undertaking a postgraduate degree (Masters or Doctorate) by coursework, and not in full-time paid employment or on fully paid study leave. Applicants who have won a bursary in this category in 2016 are not eligible. Selection is based on: academic merit; financial need; the purpose for which the bursary will be used to the progress or completion of the postgraduate degree; and community activities and other interests.",31 March,"Scholarship, Equity Scholarship, Travel Grant outside Australia, Travel Grant within Australia",Postgraduate,Co-Ed,Annual,"Accounting, Agriculture & Natural Resources, Architecture, Psychology, Built Environment, Business & Management, Communications, Computing & Information Technology, Creative Arts, Dental Studies, Economics, Education & Training, Engineering & Technology, Environmental Studies, Food & Hospitality, General Education & Employment Skills, Health Services & Support, Humanities & Social Sciences, Language & Literature, Law, Legal Studies, Mathematics, Medicine, Nursing, Personal Services, Pharmacy, Rehabilitation, Sciences, Social Work, Sport, Leisure & Recreation, Surveying, Tourism, Veterinary Studies & Animal Care, Welfare & Community Services, ELICOS course",South Australia,1,Educational disadvantage,,http://www.afuwsa-trust.com.au/what-is-afuw/
AFUW (SA) Trish Ryan Bursary,Australian Federation of University Women South Australia Inc Trust Fund,The bursary is available to mature-aged women returning to study in a history-related field. This bursary is funded from a donation by Trish Ryan's family specifically to assist mature aged women returning to study.,Applicants must: be mature-aged women; be returning to study either full time or part time in a history-related field; be enrolled at a South Australian university studying for a graduate qualification; have a good undergraduate academic record; and not in full time employment or on fully paid study leave during the tenure of the bursary.,31 March,Equity Scholarship,Postgraduate,Female,Annual,Humanities & Social Sciences,South Australia,,Mature age,History,http://www.afuwsa-trust.com.au/postgraduate-bursaries/
AFUW (SA) Winifred E Preedy Postgraduate Bursary,Australian Federation of University Women South Australia Inc Trust Fund,The bursary aims to assist women complete a higher degree in dentistry or an allied field. It is funded by the Winifred E. Preedy bequest.,The bursary is open to women of any nationality. Applicants must: be a past or present student of the University of Adelaide Dental School; be studying a postgraduate degree in dentistry or an allied field at an Australian university; have completed 1 year of their postgraduate degree; and not be employed full time or on fully-paid study leave. Selection is based on: academic merit; financial need; the purpose for which the bursary will be used to the progress or completion of the degree; and community activities and other interests. Previous recipients of the Winifred E Preedy Postgraduate Bursary are ineligible to apply.,31 March,"Scholarship, Equity Scholarship, Travel Grant outside Australia, Travel Grant within Australia",Postgraduate,Female,Annual,Dental Studies,Anywhere in Australia,1,Educational disadvantage,Dentistry,http://www.afuwsa-trust.com.au/postgraduate-bursaries/
AHS Education Award,Australasian Hydrographic Society,The award aims to support Australasian students of maritime studies in Australia or overseas.,"The award is open to students studying, or proposing to study, within a broad range of maritime disciplines including, but not necessarily limited to: hydrography; coastal studies; offshore resource surveys and management; port development and maritime engineering; law of the sea; marine cartography; or environmental studies and marine geology. Applicants must be nationals or official residents, whether studying at home or abroad, from: Australia; New Zealand; East Timor; Fiji; Kiribati; Nauru; Papua New Guinea; Samoa; Solomon Islands; Tonga; Tuvalu; or Vanuatu.",April 30,Scholarship,,Co-Ed,Annual,"Environmental Studies, Sciences",Anywhere in Australia,1,,"Environmental studies, Maritime law, Hydrogeology, Marine science, Marine industries, Marine technology, Marine engineering",http://www.ahs.asn.au/AHS_Award.html
AINSE Research Awards,University of Western Australia,"The Australian Institute of Nuclear Science and Engineering (AINSE) is an integral organisation for enhancing Australias capability in nuclear science and engineering by facilitating world-class research and education. AINSE offers a range of programs and services to its members including generous conference support, inspiring symposiums, Honours / Postgraduate scholarships and intensive education schools. These benefits aim to foster scientific advancement and promote an effective collaboration between AINSE members and ANSTO.",,End July,Scholarship,,Co-Ed,,,,,,,http://www.scholarships.uwa.edu.au/search?sc_view=1&id=1183&page=1&all=1&page1=56&page2=1
AJ and IM Naylon Honours Scholarship,Flinders University,"The scholarship provides financial assistance to undergraduate students enrolled in an honours program offered by Flinders University who are undertaking a research project relevant to Australian agriculture, particularly in the areas of biodiversity and conservation, biotechnology, environmental health, environmental protection and inland aquaculture.","Applicants must: be currently completing, or have completed, an appropriate undergraduate qualification; or be currently completing, or have completed, 108 units of a 144 unit bachelor degree program; and be commencing an honours program or the fourth year of a 144 unit bachelor degree program offered by Flinders University, in either semester 1 or 2 of the year of the award.",Mid February,Scholarship,,Co-Ed,Multiple/year,Agriculture & Natural Resources,Adelaide Metropolitan,6,,"Aquaculture, Biotechnology, Biodiversity conservation, Biodiversity, Environmental sustainability, Environmental management and ecology",http://www.flinders.edu.au/scholarships-system/index.cfm/scholarships/search
Alan C Rose Memorial Trust Scholarship,The University of Melbourne,The purpose of the scholarship is to fund a musical project which may be an individual or group project.,The scholarship is open to Jazz and Improvisation and Interactive Composition music students enrolled in the Faculty.,Mid August,Scholarship,,Co-Ed,Annual,Creative Arts,Melbourne Metropolitan,,,"Music, Music performance, Contemporary music",http://mcm.unimelb.edu.au/study/scholarships
Alex Hibberd Memorial Scholarship,University of Queensland,"Established in 2003 as a memorial to Alex Hibberd, a past student of Gatton College, and funded by a gift from the estate of Mr Hibberd.","Applicants must: be Australian or New Zealand citizens, or permanent residents, or international students; be enrolled in an honours program in the School of Agriculture and Food Sciences at The University of Queensland; have completed an undergraduate degree with the School of Agriculture and Food Science; and undertake a research project related to the pig industry. Selection is based on academic achievement.",,Scholarship,,Co-Ed,Annual,"Agriculture & Natural Resources, Sciences","Brisbane Metropolitan, Ipswich/West Moreton",1,,Applied science,http://scholarships.uq.edu.au/
Alex Rodgers Travelling Scholarship,Australian National University,The Alex Rodgers Travelling Scholarship is offered to up to 2 Research School of Astronomy and Astrophysics (RSAA) graduate students to travel abroad with direct relevance to their thesis work.,"Applicants must: be Australian or New Zealand citizens, or permanent residents or international students; be current full-time RSAA PhD students; and intend to undertake travel abroad with direct relevance to their thesis work. The scholarship will not be awarded to fund an overseas observing run. Selection is based on the scientific merit of the program, benefit of the program to RSAA and the student, and the effective use of the funds from the scholarship.",28 February,Travel Grant outside Australia,,Co-Ed,Annual,Sciences,Australian Capital Territory,2,,"Astrophysics, Astronomy, Astronomy research, Astrophysics research",http://www.anu.edu.au/students/scholarships-support/alex-rodgers-travelling-scholarship
Alexander McTaggart Honours Scholarship,Australian National University,The scholarship is to be conducted jointly by the John Curtin School of Medical Research (JCSMR). Its purpose is to assist a student who is enrolled in the honours year of the Bachelor of Science and undertaking a course related to cancer research and allied subjects.,"Applicants must: be fourth year (Honours) students, undertaking a project related to cancer research and allied fields at the John Curtin School of Medical Research.",15 June; 30 November,"Scholarship, Allowance",,Co-Ed,Multiple/year,"Medicine, Sciences",Australian Capital Territory,1,,Cancer research,http://www.anu.edu.au/students/scholarships-support/alexander-mctaggart-honours-scholarship
Alma Hansen Scholarship,The University of Melbourne,The Alma Hansen Scholarship is awarded for the purpose of assisting the recipient to travel overseas to pursue studies related to his or her major interest. The scholarship is supported by the bequest of Alma Philippina Hands (formerly Hansen).,Applicants must: be graduates of the University of Melbourne who are enrolled: be intending to enrol in a postgraduate degree at the University. Preference will be given to candidates from the Faculty of Arts. There are no restrictions on citizenship. Consideration will be given to financial need.,End March,"Travel Grant outside Australia, Travel Grant within Australia",,Co-Ed,Annual,"Humanities & Social Sciences, Language & Literature",Melbourne Metropolitan,1,,,http://arts.unimelb.edu.au/scholarships
Amelia Earhart Fellowship Program,Zonta International Foundation,"The Fellowships are offered in memory of famed air pioneer and Zontian, Amelia Earhart, who disappeared in the Pacific in 1937. By remembering Amelia Earhart through this fellowship, Zonta International encourages and supports women to expand their horizons by pursuing aerospace related sciences and aerospace engineering.",Applicants must: be registered in an accredited PhD/doctoral in a qualifying area of science or engineering closely related to advanced studies in aerospace-related science or aerospace-related engineering; demonstrate a superior academic record with evidence of potential at a recognised university or college; and provide evidence of a well-defined research program in aerospace-related science or aerospace-related engineering. Women of any nationality are eligible to apply. Members and employees of Zonta International or the Zonta International Foundation are not eligible to apply.,15 November,"Scholarship, Equity Scholarship",Postgraduate,Female,Annual,"Engineering & Technology, Sciences",Anywhere in Australia,35,Women and men in a non-traditional field of study,"Aerospace engineering, Aerospace",http://www.zonta.org/WhatWeDo/InternationalPrograms/AmeliaEarhartFellowship.aspx
American Australian Association (Fellowships),University of Western Australia,"The American Australian Association is currently accepting applications for its US to Australia Fellowship Program. The program offers fellowships of up to AU$30,000 to American researchers or students wishing to undertake advanced research or study in Australia. Through these Educational Fellowships, the Association encourages intellectual collaboration and innovation, building on the strong social and economic partnerships between Australia and the United States.",Applicant's research or study must be at graduate or postgraduate level; Acceptance into an Australian educational institution for full time study; American citizenship or permanent resident of America,Mid October,Scholarship,,Co-Ed,,,,,,,http://www.scholarships.uwa.edu.au/search?sc_view=1&id=301&page=3&all=1&page1=2&page2=2
American Orchid Society Grants,American Orchid Society,The aim of the grants is to advance scientific study of orchids in every respect and to assist in the publication of scholarly and popular scientific literature on orchids.,"Qualified personnel associated with accredited institutions or appropriate institutes or organisations may apply for grants. Support is not restricted to individuals or institutions within the United States. The salary of established scientists is not supported. Qualified graduate students with appropriate interests may apply for grants in support of their research. If justified, their salary may be supported. In general, travel to collect orchids is not supported. Other types of travel may be supported on a case-by-case basis. Projects that involve commercial sales of plant are generally not supported.",March,Scholarship,,Co-Ed,Annual,"Accounting, Agriculture & Natural Resources, Architecture, Psychology, Built Environment, Business & Management, Communications, Computing & Information Technology, Creative Arts, Dental Studies, Economics, Education & Training, Engineering & Technology, Environmental Studies, Food & Hospitality, General Education & Employment Skills, Health Services & Support, Humanities & Social Sciences, Language & Literature, Law, Legal Studies, Mathematics, Medicine, Nursing, Personal Services, Pharmacy, Rehabilitation, Sciences, Social Work, Sport, Leisure & Recreation, Surveying, Tourism, Veterinary Studies & Animal Care, Welfare & Community Services",Anywhere in Australia,,,"Biology, Horticultural studies, Plant biology",http://www.aos.org/Default.aspx?id=49
AMREP Honours Scholarship,Monash University,,"Applicants must: be Australian or New Zealand citizens, Australian permanent residents, permanent humanitarian visa holders or international students; be commencing or continuing in a full-time Alfred Medical Research and Education Precinct (AMREP) honours program at a Monash campus in Australia; and have achieved a minimum weighted average mark of 80 per cent across undergraduate study. Selection is based on academic achievement and students will be ranked according to results and chosen for a panel interview. Tenure is dependent on satisfactory progress as reported by honours supervisor.",31 October,Scholarship,,Co-Ed,Annual,"Medicine, Sciences",Melbourne Metropolitan,2,,Biomedical science,http://www.monash.edu.au/study/scholarships/honours/amrep.html
AMSA Rural Elective Bursary,Australian Medical Students' Association,"Rural and Indigenous health provides a fantastic opportunity for health practitioners to experience challenging, holistic and hands-on medicine in areas of definite need. AMSA believes that positive, supported rural placements will enable students to experience rural medicine and hopefully result in students returning to the country to practice later in their careers. AMSA offers Rural Elective Bursaries annually to medical students, designed to help with the cost of planning and undertaking the elective.","Applicants must: be Australian medical students; be members of their rural health club (if applicable); not be in receipt of a John Flynn scholarship; not have previously received an AMSA rural health bursary; not be members of the current AMSA Executive; undertake an elective for a minimum of 4 weeks, except where the compulsory elective period in the course of study is for a shorter period, when the elective must be for the entire allocated time; and undertake an elective in a rural health setting, or with an Indigenous health service provider within Australia.",Mid June,Travel Grant within Australia,,Co-Ed,Annual,Medicine,Anywhere in Australia,,,Medicine,http://www.nrhsn.org.au/home/news/amsa-rural-elective-bursary-apply-now/
Amuthan Medical Research Bursary,James Cook University,"The Amuthan Medical Research Fund was established in 2013 in memory of Amuthan Annamalai, a Year 6 medical student at James Cook University who passed away on 25 January 2013. The objective of the fund is to improve the health of under-served populations in the tropics through medical research and community development in the fields of public health/health promotion, infectious diseases (especially typhoid and/or Dengue fever) and/or health services. The fund will support research that will lead to improved quality of life, health equity and excellence in clinical care for people living in the tropics.",Applicants must have been admitted to the Bachelor of Medicine/Bachelor of Surgery at James Cook University; and be enrolled full-time (12 credit points per teaching period). Preference will be given to students in their second or third year of studies.,15 May,Scholarship,,Co-Ed,Annual,Medicine,North Queensland,2,,,http://www.jcu.edu.au/scholarships
Amy Gaye Cowper Tennent Memorial Scholarship,The University of Melbourne,The Amy Gaye Cowper Tennent Memorial Scholarship offers postgraduate students of Literature in the department of English and Theatre Studies to enable travel abroad for the purposes of their studies.,Applicants must: be undertaking graduate studies in English Literature in the School of Culture and Communication. The scholarship may be held concurrently with any other award.,Mid April,Scholarship,,Co-Ed,Annual,Language & Literature,Melbourne Metropolitan,1,,English literature,http://arts.unimelb.edu.au/scholarships
Angel Family Trust Scholarship,Charles Sturt University,"The scholarship is provided by the friends of Charles Sturt University, the many service organisations, individuals and corporations throughout our region who give generously via the Charles Sturt University Foundation Trust in support of its commencing medical science students at the Wagga Wagga campus.","Applicants must: be enrolled in the first year of the Bachelor of Medical Science degree at the Wagga Wagga campus of CSU; have a sound academic record; and demonstrate their commitment to the health care environment, and potential and motivation to contribute to university life via the submission of a 250-word minimum essay.",Early February,Scholarship,,Co-Ed,Annual,"Medicine, Sciences",Riverina,1,,Medical science,http://www.csu.edu.au/courses/fees-and-costs/help-with-costs/scholarships/browse-all
Anjeli Nathan Memorial Scholarship,Australian National University,"The scholarship is offered to an outstanding applicant who has been accepted to study behavioural ecology or conservation biology as part of the honours program in Ecology, Evolution and Genetics, or is within 12 months of having completed the Bachelor of Science with honours in Ecology, Evolution and Genetics. The scholarship may be used to assist the student either to undertake the honours program or to gain fieldwork experience after the successful completion of the degree.","Applicants must: be accepted to study behavioural ecology or conservation biology as part of the Honours Program in Ecology, Evolution and Genetics, or must be within 12 months of having completed the degree with honours in Ecology, Evolution and Genetics. Applicants are required to submit a written proposal for a project relating to the behaviour and ecology of animals in their natural environments. Projects involving long-term captivity, killing or surgery on animals will not be considered.",30 December,Scholarship,,Co-Ed,Annual,"Sciences, Veterinary Studies & Animal Care",Australian Capital Territory,1,,"Zoology, Botany",http://www.anu.edu.au/students/scholarships/anjeli-nathan-memorial-scholarship
Anna Chmiel Clarinet Scholarship,Monash University,"The scholarship is being awarded in memory of Anna Chmiel, who died tragically, aged 19, in 2012. Anna played clarinet with the Melbourne Youth Music programs and subsequently studied for her Bachelor of Music at Monash University. Anna was a gifted musician who also developed a particular love and talent for art, creative writing and ballet. Anna's family and friends have established the Anna Chmiel Memorial Fund and this scholarship as a lasting tribute in recognition of the significant contribution which music plays in the lives of young people.",Applicants must: be commencing or continuing music performance students in an undergraduate degree in the School of Music at a Monash campus in Australia. The scholarship is open to both domestic and international students. Selection is based on academic achievement and performance at an interview/audition.,No application required,Scholarship,,Co-Ed,Annual,Creative Arts,Melbourne Metropolitan,,,"Music, Music performance",http://www.monash.edu.au/study/scholarships/music/anna-chmiel.html
Anna Chmiel Memorial Travel Grant,Monash University,"The Anna Chmiel Memorial Travel Grant is aimed at supporting young students to experience the New York and Prato programs. The scholarship is in honour and memory of Anna Chmiel, who was a clarinet student at the Sir Zelman Cowen School of Music.",Applicants must: be continuing full-time music performance students enrolled in an undergraduate degree at the School of Music at Monash Clayton campus; be enrolled in a New York or Prato Music Tour; and be experiencing financial disadvantage.,,"Equity Scholarship, Travel Grant outside Australia",Undergraduate,Co-Ed,Annual,Creative Arts,Melbourne Metropolitan,,Educational disadvantage,Music,http://www.monash.edu.au/students/scholarships/anna-chmiel-travel.html
Anna Lodewyckx Scandinavian Scholarship,The University of Melbourne,The scholarships support students who are willing to undertake an approved course of study at a Scandinavian university.,The scholarships are open to students who have a Bachelor of Arts (Honours); possess an elementary knowledge of a Scandinavian language. A recipient of a major scholarship must undertake an approved course at a Scandinavian university during an academic year.,,"Scholarship, Travel Grant outside Australia",,Co-Ed,Annual,Language & Literature,Melbourne Metropolitan,1,,"Medieval studies, Language",http://arts.unimelb.edu.au/scholarships
